tiers,weight,flavor,complexity,occasion,price
2,10.0,chocolate,minimal,other,6100
5,3.6,spicy,minimal,birthday,3100
2,9.7,nuts,intricate,wedding,21900
1,5.4,vanilla,minimal,wedding,4650
3,3.5,vanilla,standard,birthday,2800
5,1.6,spicy,intricate,birthday,3100
1,3.8,spicy,minimal,other,1450
5,6.2,chocolate,intricate,birthday,8850
3,3.7,vanilla,intricate,birthday,3500
4,5.3,chocolate,standard,other,5050
1,2.3,fruit,intricate,other,2300
1,0.6,nuts,intricate,anniversary,800
1,4.7,vanilla,minimal,birthday,2000
5,8.5,fruit,standard,birthday,8100
4,8.9,nuts,intricate,wedding,20800
3,6.9,vanilla,intricate,wedding,10700
3,1.4,vanilla,standard,birthday,1550
5,7.7,spicy,intricate,wedding,14650
5,6.3,nuts,intricate,birthday,9250
4,8.4,vanilla,intricate,birthday,8250
5,6.4,vanilla,standard,wedding,7550
5,5.0,spicy,intricate,other,5350
4,4.9,fruit,standard,birthday,4350
1,8.8,nuts,minimal,birthday,5200
2,2.2,chocolate,intricate,birthday,2850
1,6.3,nuts,minimal,anniversary,5250
5,6.4,chocolate,standard,other,6650
5,0.6,vanilla,standard,wedding,2350
2,8.2,vanilla,minimal,other,3450
3,9.2,chocolate,intricate,anniversary,13800
3,6.3,chocolate,minimal,other,4200
3,7.1,vanilla,standard,other,4600
5,0.6,nuts,minimal,birthday,2150
5,4.1,nuts,standard,wedding,7950
5,9.8,nuts,intricate,anniversary,16050
1,1.5,spicy,intricate,anniversary,1400
3,1.1,chocolate,standard,wedding,2700
1,4.0,nuts,standard,anniversary,3700
1,1.7,chocolate,standard,anniversary,1450
4,1.6,vanilla,minimal,other,2250
5,8.5,chocolate,minimal,other,6350
2,3.0,spicy,standard,other,2100
2,3.8,vanilla,minimal,anniversary,2150
2,2.5,nuts,minimal,anniversary,2500
2,2.5,chocolate,standard,birthday,2100
1,5.7,spicy,standard,birthday,3100
1,2.1,fruit,minimal,other,1150
3,8.4,nuts,minimal,other,5750
5,7.4,nuts,standard,other,7800
1,2.5,nuts,minimal,wedding,3400
1,2.9,vanilla,intricate,wedding,4350
4,7.8,nuts,intricate,other,11900
4,2.4,spicy,standard,other,2650
3,7.9,chocolate,minimal,birthday,5200
1,5.0,nuts,minimal,wedding,5900
3,5.7,nuts,minimal,other,4500
5,4.1,chocolate,minimal,other,4000
5,1.6,spicy,minimal,birthday,2900
1,9.5,vanilla,minimal,wedding,7800
5,5.5,spicy,intricate,other,5600
5,0.8,spicy,standard,other,2650
3,4.3,chocolate,standard,wedding,6450
4,3.4,nuts,intricate,anniversary,6750
3,8.4,nuts,intricate,birthday,10450
2,5.9,vanilla,minimal,anniversary,3300
1,4.7,spicy,minimal,birthday,1850
1,2.9,vanilla,standard,wedding,3150
5,1.7,spicy,minimal,wedding,3550
1,9.3,nuts,intricate,other,11350
4,7.4,nuts,minimal,anniversary,7050
3,2.4,vanilla,minimal,anniversary,2300
3,3.8,fruit,intricate,wedding,7750
4,3.4,vanilla,intricate,anniversary,4800
5,0.8,fruit,minimal,anniversary,2600
3,7.1,chocolate,minimal,anniversary,6000
1,1.5,vanilla,minimal,birthday,550
5,9.4,nuts,intricate,birthday,12900
2,7.0,vanilla,minimal,wedding,5850
3,5.2,nuts,minimal,anniversary,4900
4,0.7,chocolate,standard,wedding,2550
5,1.7,nuts,intricate,other,3700
2,7.8,nuts,minimal,other,5200
3,8.4,spicy,intricate,birthday,6900
4,4.9,nuts,intricate,anniversary,7850
1,7.7,nuts,intricate,birthday,9150
1,0.6,spicy,standard,anniversary,350
1,6.1,nuts,standard,wedding,8850
5,0.9,fruit,intricate,wedding,4050
5,9.3,spicy,standard,birthday,6700
5,9.5,chocolate,intricate,wedding,21150
1,3.8,nuts,intricate,anniversary,5050
4,4.7,spicy,minimal,anniversary,4000
2,8.3,spicy,minimal,birthday,3800
2,1.0,spicy,standard,wedding,1450
1,6.8,fruit,standard,wedding,9250
5,6.8,spicy,intricate,anniversary,8300
4,4.5,nuts,standard,other,5450
4,3.9,vanilla,minimal,wedding,4700
1,7.1,nuts,intricate,wedding,16000
2,5.9,chocolate,intricate,birthday,6800
2,0.9,fruit,intricate,birthday,1400
2,6.9,vanilla,standard,other,3700
5,0.9,nuts,minimal,birthday,2750
2,6.2,vanilla,intricate,other,5500
3,9.6,nuts,intricate,anniversary,15650
4,8.3,fruit,standard,other,7300
2,2.5,chocolate,standard,other,2450
3,8.8,vanilla,intricate,anniversary,9050
